master_1   | INFO: 2022/11/29 21:49:56 master.go:135: Seed:
master_1   | INFO: 2022/11/29 21:49:56 master.go:143: [7.46512 7.01636]
master_1   | INFO: 2022/11/29 21:49:56 master.go:143: [4.88072 1.61472]
master_1   | INFO: 2022/11/29 21:49:56 master.go:143: [-4.77564 9.45967]
master_1   | INFO: 2022/11/29 21:49:56 master.go:143: [5.58537 -0.220552]
master_1   | INFO: 2022/11/29 21:49:56 master.go:237: Task correctly injected
master_1   | INFO: 2022/11/29 21:49:56 master.go:638: Scheduling mapper task: 18
master_1   | INFO: 2022/11/29 21:49:56 master.go:340: Job 0 assigned to mapper e9e4892626692af813bb47eccfb1fd1b1562792a78ecb963150d623ef2e3e8a8
master_1   | INFO: 2022/11/29 21:49:56 master.go:340: Job 1 assigned to mapper 64ba01d54fac90e960b188302fd4b56836f1fd819e3982c9e179ea41668ef61a
master_1   | INFO: 2022/11/29 21:49:56 master.go:340: Job 2 assigned to mapper 4e38227d353ba45c73008ddc45118cb7f08d67de1174034896f248632bc69d52
master_1   | INFO: 2022/11/29 21:49:56 master.go:340: Job 3 assigned to mapper ad56ff199ed5a5418357fe6a34b3ee31b773aef19d6468cfd77c78e373f1d126
master_1   | INFO: 2022/11/29 21:49:56 share.go:201: Sent mapper job 0 [begin 0, end 25863735] task 18
master_1   | INFO: 2022/11/29 21:49:56 share.go:201: Sent mapper job 1 [begin 25863735, end 51727470] task 18
master_1   | INFO: 2022/11/29 21:49:56 share.go:201: Sent mapper job 2 [begin 51727470, end 77591205] task 18
master_1   | INFO: 2022/11/29 21:49:56 share.go:201: Sent mapper job 3 [begin 77591205, end 103454940] task 18
master_1   | INFO: 2022/11/29 21:50:03 master.go:1313: received message *net.TCPConn &{{0xc000123100}}
master_1   | INFO: 2022/11/29 21:50:03 master.go:477: Mapper job 3 completed, task 18 .
master_1   | INFO: 2022/11/29 21:50:04 master.go:1313: received message *net.TCPConn &{{0xc00016c880}}
master_1   | INFO: 2022/11/29 21:50:04 master.go:477: Mapper job 1 completed, task 18 .
master_1   | INFO: 2022/11/29 21:50:04 master.go:1313: received message *net.TCPConn &{{0xc000123200}}
master_1   | INFO: 2022/11/29 21:50:04 master.go:477: Mapper job 0 completed, task 18 .
master_1   | INFO: 2022/11/29 21:50:04 master.go:1313: received message *net.TCPConn &{{0xc00016ca00}}
master_1   | INFO: 2022/11/29 21:50:04 master.go:477: Mapper job 2 completed, task 18 .
master_1   | INFO: 2022/11/29 21:50:04 master.go:495: Map task 18 completed.
master_1   | INFO: 2022/11/29 21:50:04 master.go:1104: Scheduling reducer task: 18
